Game 1:

  Trial #  # of Hands  # of Pairs   # of Flushes     Pair Percentage    Flush Percentage
  -------  ----------  ----------   ------------     ---------------    ----------------
        1       10000        4981            114                0.50                0.01
        2       10000        4914            117                0.49                0.01
        3       10000        4936            139                0.49                0.01
        4       10000        4863            140                0.49                0.01
        5       10000        4918            122                0.49                0.01
        6       10000        4963            134                0.50                0.01
        7       10000        4930            126                0.49                0.01
        8       10000        4998            108                0.50                0.01
        9       10000        4890            118                0.49                0.01
       10       10000        4918            129                0.49                0.01
